GEO_TTL,GEOID,EMP,ZIP,index_gaz,rho
"Holtsville, NY",8600000US00501,0,00501,,
"Agawam, MA",8600000US01001,7786,01001,12228.0,245.05131521206238
"Amherst, MA",8600000US01002,6607,01002,12229.0,44.426124411626176
"Greenfield, MA",8600000US01301,9149,01301,12320.0,127.44188805219832
"Amherst, MA",8600000US01003,82,01003,,
"Amherst, MA",8600000US01004,600,01004,,
"Barre, MA",8600000US01005,777,01005,12230.0,7.0918041069559425
"Belchertown, MA",8600000US01007,1126,01007,12231.0,8.101830132913761
"Blandford, MA",8600000US01008,274,01008,12232.0,2.030834742008758
"Bondsville, MA",8600000US01009,162,01009,,
"Chester, MA",8600000US01011,50,01011,12234.0,0.34091286729389814
"Brimfield, MA",8600000US01010,259,01010,12233.0,2.8674424637428784
"Chesterfield, MA",8600000US01012,65,01012,12235.0,1.5249850739153228
"Chicopee, MA",8600000US01013,5803,01013,12236.0,387.0843629123686
"Chicopee, MA",8600000US01014,103,01014,,
"Chicopee, MA",8600000US01020,8566,01020,12237.0,272.5460940479382
"Chicopee, MA",8600000US01021,425,01021,,
"Chicopee, MA",8600000US01022,2804,01022,12238.0,218.83484337699937
"Cummington, MA",8600000US01026,151,01026,12239.0,2.382191894517931
"Easthampton, MA",8600000US01027,4372,01027,12240.0,39.64203963589204
"East Longmeadow, MA",8600000US01028,8486,01028,12241.0,252.51153158807378
"East Otis, MA",8600000US01029,88,01029,12242.0,2.7589589432108745
"Feeding Hills, MA",8600000US01030,1143,01030,12243.0,40.213110487262576
"Gilbertville, MA",8600000US01031,48,01031,12244.0,1.723614407922651
"Goshen, MA",8600000US01032,59,01032,12245.0,3.42947448476796
"Granby, MA",8600000US01033,640,01033,12246.0,8.726743926257814
"Granville, MA",8600000US01034,97,01034,12247.0,0.5179010633843628
"Hadley, MA",8600000US01035,3293,01035,12248.0,56.29781884674884
"Hampden, MA",8600000US01036,492,01036,12249.0,9.675451150358045
"Hardwick, MA",8600000US01037,169,01037,12250.0,3.339452303343754
"Hatfield, MA",8600000US01038,814,01038,12251.0,31.727828552480965
"Haydenville, MA",8600000US01039,232,01039,12252.0,10.686795183977324
"Holyoke, MA",8600000US01040,19782,01040,12253.0,345.5602176236305
"Holyoke, MA",8600000US01041,1374,01041,,
"Huntington, MA",8600000US01050,138,01050,12254.0,1.3332706631712432
"Leeds, MA",8600000US01053,425,01053,12255.0,36.205669671566866
"Leverett, MA",8600000US01054,74,01054,12256.0,1.309171824272909
"Ludlow, MA",8600000US01056,4012,01056,12257.0,58.007504395564915
"Monson, MA",8600000US01057,1010,01057,12258.0,8.75195288780434
"North Amherst, MA",8600000US01059,162,01059,,
"Northampton, MA",8600000US01060,12181,01060,12259.0,407.78253008890067
"Northampton, MA",8600000US01061,392,01061,,
"Florence, MA",8600000US01062,1083,01062,12260.0,22.93231948341933
"Northampton, MA",8600000US01063,0,01063,,
"North Hatfield, MA",8600000US01066,0,01066,,
"Oakham, MA",8600000US01068,96,01068,12261.0,1.7713029111935328
"Palmer, MA",8600000US01069,3721,01069,12262.0,48.91984946096268
"Plainfield, MA",8600000US01070,23,01070,12263.0,0.4616937882995071
"Russell, MA",8600000US01071,117,01071,12264.0,2.569451505555835
"Shutesbury, MA",8600000US01072,70,01072,12265.0,1.2811655414494756
"Southampton, MA",8600000US01073,790,01073,12266.0,11.60768595725956
"South Barre, MA",8600000US01074,106,01074,,
"South Hadley, MA",8600000US01075,5452,01075,12267.0,118.92702692597761
"Southwick, MA",8600000US01077,1776,01077,12268.0,22.151915943656903
"Thorndike, MA",8600000US01079,274,01079,,
"Three Rivers, MA",8600000US01080,253,01080,12269.0,36.8885217209239
"Wales, MA",8600000US01081,76,01081,12270.0,2.1294620460515783
"Ware, MA",8600000US01082,2455,01082,12271.0,21.988315310721898
"Warren, MA",8600000US01083,347,01083,12272.0,10.065392563943234
"West Chesterfield, MA",8600000US01084,0,01084,12273.0,0.0
"Westfield, MA",8600000US01085,12619,01085,12274.0,77.55838079735375
"Westfield, MA",8600000US01086,1355,01086,,
"West Hatfield, MA",8600000US01088,323,01088,12275.0,22.731645674027074
"West Springfield, MA",8600000US01089,17270,01089,12276.0,418.47310383463844
"West Springfield, MA",8600000US01090,459,01090,,
"West Warren, MA",8600000US01092,661,01092,12277.0,42.06598861723622
"Whately, MA",8600000US01093,1834,01093,,
"Wheelwright, MA",8600000US01094,31,01094,,
"Wilbraham, MA",8600000US01095,3199,01095,12278.0,52.43698984271411
"Williamsburg, MA",8600000US01096,301,01096,12279.0,3.0599089198286684
"Woronoco, MA",8600000US01097,7,01097,,
"Worthington, MA",8600000US01098,157,01098,12280.0,1.904554824139109
"Springfield, MA",8600000US01101,1396,01101,,
"Springfield, MA",8600000US01102,2997,01102,,
"Springfield, MA",8600000US01103,8682,01103,12281.0,9175.359056466186
"Springfield, MA",8600000US01104,14724,01104,12282.0,970.2418955906644
"Springfield, MA",8600000US01105,5386,01105,12283.0,1549.0650388733068
"Longmeadow, MA",8600000US01106,2533,01106,12284.0,102.39165978093197
"Springfield, MA",8600000US01107,7808,01107,12285.0,2407.8202350030083
"Springfield, MA",8600000US01108,3162,01108,12286.0,352.3776239985878
"Springfield, MA",8600000US01109,12497,01109,12287.0,930.7598670823967
"Springfield, MA",8600000US01111,0,01111,,
"Springfield, MA",8600000US01114,0,01114,,
"Springfield, MA",8600000US01115,716,01115,,
"Longmeadow, MA",8600000US01116,0,01116,,
"Springfield, MA",8600000US01118,1668,01118,12288.0,173.46997248296162
"Springfield, MA",8600000US01119,3747,01119,12289.0,406.78089751694296
"Springfield, MA",8600000US01128,643,01128,12290.0,224.83327196748695
"Springfield, MA",8600000US01129,3515,01129,12291.0,404.28940128017695
"Springfield, MA",8600000US01133,0,01133,,
"Springfield, MA",8600000US01138,44,01138,,
"Springfield, MA",8600000US01139,0,01139,,
"Springfield, MA",8600000US01144,1366,01144,,
"Indian Orchard, MA",8600000US01151,1863,01151,12292.0,302.9734329866025
"Springfield, MA",8600000US01199,0,01199,,
"Pittsfield, MA",8600000US01201,23474,01201,12293.0,125.59196059076866
"Pittsfield, MA",8600000US01202,809,01202,,
"Pittsfield, MA",8600000US01203,0,01203,,
"Adams, MA",8600000US01220,1898,01220,12294.0,23.23312113749361
"Ashley Falls, MA",8600000US01222,80,01222,12295.0,6.7281054832377665
"Becket, MA",8600000US01223,227,01223,12296.0,1.490559844559429
"Berkshire, MA",8600000US01224,0,01224,,
"Cheshire, MA",8600000US01225,254,01225,12297.0,4.674910152920176
"Dalton, MA",8600000US01226,2436,01226,12298.0,16.266348013627834
"Dalton, MA",8600000US01227,71,01227,,
"Glendale, MA",8600000US01229,17,01229,,
"Great Barrington, MA",8600000US01230,4124,01230,12299.0,14.936612785709396
"Hinsdale, MA",8600000US01235,348,01235,12300.0,3.259794828700826
"Housatonic, MA",8600000US01236,1471,01236,12301.0,52.597315134114034
"Lanesboro, MA",8600000US01237,2567,01237,12302.0,24.16580115693467
"Lee, MA",8600000US01238,2783,01238,12303.0,19.22739783285878
"Lenox, MA",8600000US01240,3235,01240,12304.0,47.15169990331934
"Lenox Dale, MA",8600000US01242,80,01242,12305.0,354.74201387041273
"Middlefield, MA",8600000US01243,60,01243,,
"Mill River, MA",8600000US01244,17,01244,12306.0,4.095473682486117
"Monterey, MA",8600000US01245,146,01245,12307.0,1.9830110822611673
"North Adams, MA",8600000US01247,5130,01247,12308.0,34.413560692436526
"North Egremont, MA",8600000US01252,44,01252,,
"Otis, MA",8600000US01253,106,01253,12309.0,2.374842336233673
"Richmond, MA",8600000US01254,78,01254,12310.0,2.3551312709408534
"Sandisfield, MA",8600000US01255,92,01255,12311.0,0.7621660507315617
"Savoy, MA",8600000US01256,16,01256,12312.0,0.167584497281858
"Sheffield, MA",8600000US01257,930,01257,12313.0,9.63023102240787
"South Egremont, MA",8600000US01258,173,01258,12314.0,3.0056584734906915
"Southfield, MA",8600000US01259,67,01259,12315.0,1.517834120485129
"South Lee, MA",8600000US01260,849,01260,,
"Stockbridge, MA",8600000US01262,816,01262,12316.0,63.14672187258508
"Tyringham, MA",8600000US01264,3,01264,12317.0,0.09788846105830609
"West Stockbridge, MA",8600000US01266,194,01266,12318.0,2.8780976972933745
"Williamstown, MA",8600000US01267,4784,01267,12319.0,31.122601608008022
"Windsor, MA",8600000US01270,79,01270,,
"Framingham, MA",8600000US01705,50,01705,,
"Greenfield, MA",8600000US01302,626,01302,,
"Ashfield, MA",8600000US01330,154,01330,12321.0,1.6482057455660295
"Athol, MA",8600000US01331,3684,01331,12322.0,25.3191532879271
"Bernardston, MA",8600000US01337,389,01337,12323.0,4.183148297844159
"Buckland, MA",8600000US01338,106,01338,12324.0,60.84666411034141
"Charlemont, MA",8600000US01339,172,01339,12325.0,0.9771880283899257
"Colrain, MA",8600000US01340,124,01340,12326.0,1.0323859815438028
"Conway, MA",8600000US01341,82,01341,12327.0,0.9013329802452982
"Deerfield, MA",8600000US01342,888,01342,12328.0,21.782766358342403
"Drury, MA",8600000US01343,0,01343,,
"Erving, MA",8600000US01344,343,01344,12329.0,10.109693415736471
"Heath, MA",8600000US01346,19,01346,12330.0,0.833122239158964
"Lake Pleasant, MA",8600000US01347,0,01347,,
"Turners Falls, MA",8600000US01349,279,01349,12331.0,11.97084674046715
"Monroe Bridge, MA",8600000US01350,0,01350,12332.0,0.0
"Montague, MA",8600000US01351,97,01351,12333.0,1.8698067082496257
"New Salem, MA",8600000US01355,62,01355,12334.0,0.5151201172459914
"Northfield, MA",8600000US01360,932,01360,12335.0,10.521725873727728
"Orange, MA",8600000US01364,1582,01364,12336.0,16.928362348621302
"Petersham, MA",8600000US01366,85,01366,12337.0,0.6231973786705272
"Rowe, MA",8600000US01367,54,01367,12338.0,0.8696600257387158
"Royalston, MA",8600000US01368,53,01368,12339.0,0.4592501573126753
"Shelburne Falls, MA",8600000US01370,921,01370,12340.0,7.011889149112962
"South Deerfield, MA",8600000US01373,2322,01373,12341.0,24.758696804135262
"Sunderland, MA",8600000US01375,440,01375,12342.0,12.088587919681773
"Turners Falls, MA",8600000US01376,1984,01376,12343.0,46.18756027924757
"Warwick, MA",8600000US01378,13,01378,12344.0,0.13581679851744055
