GEOID,POP,HU,ALAND,STATE
35004,6998,2815,49387881.0,AL
35005,8985,3690,92158183.0,AL
35006,3109,1488,339241043.0,AL
35007,20157,7762,128235102.0,AL
35010,21732,10033,616923491.0,AL
35014,4480,1725,245144985.0,AL
35016,15619,6804,199152484.0,AL
35019,2097,893,71769333.0,AL
35020,31627,13798,57867372.0,AL
35022,14042,5845,159197008.0,AL
35023,25153,10026,225344726.0,AL
35031,7640,3368,318841695.0,AL
35033,3516,1655,197676726.0,AL
35034,5511,1818,288172141.0,AL
35035,1488,608,178073083.0,AL
35036,375,182,3029999.0,AL
35040,7157,3005,211989128.0,AL
35042,5083,2263,482619286.0,AL
35043,4227,1610,93459058.0,AL
35044,7622,3303,171671416.0,AL
35045,13366,5802,296008674.0,AL
35046,4602,2596,290466393.0,AL
35049,3223,1305,98846893.0,AL
35051,7414,3069,286101906.0,AL
35052,278,56,1990546.0,AL
35053,2493,2226,120733389.0,AL
35054,4090,2080,78888629.0,AL
35055,18711,8768,166249958.0,AL
35057,11672,5190,309955143.0,AL
35058,9850,4122,196127578.0,AL
35060,638,290,1891211.0,AL
35061,1403,559,3184667.0,AL
35062,7556,3151,108935672.0,AL
35063,3425,1466,89926053.0,AL
35064,12879,5167,15917395.0,AL
35068,5773,2508,36246359.0,AL
35070,305,139,2236877.0,AL
35071,13484,5711,152850572.0,AL
35072,5280,2313,453886889.0,AL
35073,2694,1173,68934209.0,AL
35074,164,72,590488.0,AL
35077,12706,5559,413685909.0,AL
35078,2740,1166,133500988.0,AL
35079,7150,2925,286295878.0,AL
35080,11735,4578,123037122.0,AL
35082,31,14,472381.0,AL
35083,2958,1252,85061664.0,AL
35085,8089,3344,261590861.0,AL
35087,1994,857,59473971.0,AL
35089,2365,1018,181955958.0,AL
35091,1198,482,8205814.0,AL
35094,12869,5699,148669165.0,AL
35096,6736,3264,200135402.0,AL
35097,1837,712,25794552.0,AL
35098,1339,642,81538797.0,AL
35111,10784,4050,172483597.0,AL
35112,562,220,3615184.0,AL
35114,4114,1607,35251005.0,AL
35115,14941,5924,324192695.0,AL
35116,3835,1500,46304249.0,AL
35117,4783,1899,76006567.0,AL
35118,3625,1502,105058123.0,AL
35119,63,31,676076.0,AL
35120,7427,2974,170799725.0,AL
