GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  ,POP
00601,166659884.0,799293,64.348,0.309,18.180555,-66.749961,18570.0
00602,79287203.0,4448761,30.613,1.718,18.361945,-67.175597,41520.0
00603,81884707.0,183895,31.616,0.071,18.455183,-67.119887,54689.0
00606,109579998.0,12487,42.309,0.005,18.158345,-66.932911,6615.0
00610,93020979.0,4171994,35.916,1.611,18.295366,-67.125135,29016.0
00612,175095477.0,9812039,67.605,3.788,18.402253,-66.711397,67010.0
00616,29862702.0,149156,11.53,0.058,18.420412,-66.671979,11017.0
00617,39347155.0,3987953,15.192,1.54,18.445147,-66.559696,24597.0
00622,75087972.0,1694880,28.992,0.654,17.991245,-67.153993,7853.0
00623,98351686.0,1633538,37.974,0.631,18.083361,-67.153897,43061.0
00624,111794959.0,2525022,43.164,0.975,18.064919,-66.716683,26241.0
00627,120058277.0,3507026,46.355,1.354,18.4126,-66.863926,35159.0
00631,10414670.0,669972,4.021,0.259,18.190607,-66.832041,1852.0
00637,89222635.0,25323,34.449,0.01,18.076713,-66.947389,25287.0
00638,171055237.0,493328,66.045,0.19,18.295913,-66.515588,18941.0
00641,242244246.0,3459450,93.531,1.336,18.263085,-66.712985,31191.0
00646,53612097.0,3321055,20.7,1.282,18.43315,-66.285875,38199.0
00647,39379849.0,8013314,15.205,3.094,17.963613,-66.947127,6172.0
00650,79052828.0,557193,30.522,0.215,18.349416,-66.578079,14998.0
00652,17915346.0,15537,6.917,0.006,18.448452,-66.594127,4715.0
00653,39477267.0,5203941,15.242,2.009,17.985033,-66.886536,13307.0
00656,83954600.0,4355104,32.415,1.682,18.053539,-66.792931,21481.0
00659,108212867.0,3037688,41.781,1.173,18.407226,-66.808999,41953.0
00660,29384893.0,481,11.346,0.0,18.134695,-67.116199,17250.0
00662,114911918.0,5337134,44.368,2.061,18.46832,-67.015781,43282.0
00664,117897691.0,3091,45.521,0.001,18.21033,-66.591616,16784.0
00667,156215100.0,28250307,60.315,10.908,18.003422,-67.03581,25968.0
00669,159419187.0,168344,61.552,0.065,18.277102,-66.869645,29744.0
00670,118025319.0,357845,45.57,0.138,18.240187,-66.988776,9807.0
00674,116402325.0,6903413,44.943,2.665,18.422908,-66.489337,44457.0
00676,130630481.0,56474,50.437,0.022,18.377637,-67.079574,40316.0
00677,37137333.0,3594733,14.339,1.388,18.332568,-67.227022,15272.0
00678,68274013.0,3796760,26.361,1.466,18.434099,-66.927384,27819.0
00680,166308133.0,19820070,64.212,7.653,18.182055,-67.132502,58140.0
00682,37304297.0,6321605,14.403,2.441,18.221464,-67.156039,32615.0
00683,135165044.0,29360,52.188,0.011,18.1078,-67.037263,33772.0
00685,200808247.0,2058244,77.533,0.795,18.332929,-66.959689,42831.0
00687,100676182.0,139537,38.871,0.054,18.319026,-66.420557,32610.0
00688,82403361.0,77466,31.816,0.03,18.382264,-66.626438,13543.0
00690,7292587.0,11145,2.816,0.004,18.49551,-67.098671,6255.0
00692,69308360.0,1999295,26.76,0.772,18.410188,-66.336556,37511.0
00693,101836936.0,3653903,39.319,1.411,18.423,-66.397232,61038.0
00694,2043549.0,1957115,0.789,0.756,18.48237,-66.391079,328.0
00698,180312874.0,7761603,69.619,2.997,18.064848,-66.856319,41782.0
00703,76855158.0,28383,29.674,0.011,18.248401,-66.130662,28605.0
00704,12627766.0,1773833,4.876,0.685,17.96577,-66.219555,8577.0
00705,82748307.0,72304,31.949,0.028,18.128961,-66.266683,25598.0
00707,54561541.0,3816672,21.066,1.474,18.014055,-65.920751,12225.0
00714,37859189.0,42739,14.618,0.017,18.003025,-66.046237,19566.0
00715,20381736.0,150234,7.869,0.058,18.011233,-66.560065,3656.0
00716,22170690.0,7921400,8.56,3.058,17.99204,-66.605856,33779.0
00717,5443504.0,77761,2.102,0.03,18.003222,-66.614037,18457.0
00718,117171777.0,3457282,45.24,1.335,18.231988,-65.759623,26606.0
00719,72527849.0,898339,28.003,0.347,18.289927,-66.25344,30990.0
00720,154368052.0,286519,59.602,0.111,18.217946,-66.428076,23129.0
00723,119553977.0,1319679,46.16,0.51,18.043498,-66.015479,19277.0
00725,109378027.0,1174730,42.231,0.454,18.218819,-66.042375,89374.0
