"[A]행정구역별(시군)","행정구역별(시군)","시점","취업자","- 성별(남자)","- 성별(여자)","- 연령별(15~29세)","- 연령별(30~49세)","- 연령별(50세 이상)",
"3101","수원시","2010. 4/4","412.6","236.8","175.7","87.1","230.6","94.9",
"3101","수원시","2011. 1/4","415.8","242.5","173.3","89.9","226.4","99.5",
"3101","수원시","2011. 2/4","438.4","254.7","183.7","94.4","242.3","101.7",
"3101","수원시","2011. 3/4","431.6","250.7","180.9","89.1","239.8","102.7",
"3101","수원시","2011. 4/4","432.5","244.1","188.4","80.4","240.6","111.5",
"3101","수원시","2012. 1/4","446.7","261.7","184.9","75.7","248.7","122.3",
"3101","수원시","2012. 2/4","447.9","267.5","180.5","73.1","245.3","129.5",
"3101","수원시","2012. 3/4","469.8","286.5","183.3","78","256.5","135.3",
"3101","수원시","2012. 4/4","454.1","273.9","180.2","74.6","250.2","129.3",
"3102","성남시","2010. 4/4","351.2","205.1","146.1","68.9","196.1","86.2",
"3102","성남시","2011. 1/4","382.3","226.1","156.2","73.5","211.6","97.3",
"3102","성남시","2011. 2/4","403.2","233.3","169.9","80.7","217.4","105.1",
"3102","성남시","2011. 3/4","401.7","231.6","170.1","77.7","217.4","106.5",
"3102","성남시","2011. 4/4","408.2","241.9","166.3","79.2","222.3","106.7",
"3102","성남시","2012. 1/4","411.4","243.6","167.7","83.3","225.8","102.3",
"3102","성남시","2012. 2/4","422.8","243.6","179.2","73.2","240","109.6",
"3102","성남시","2012. 3/4","425.1","243.3","181.8","76.8","241.7","106.6",
"3102","성남시","2012. 4/4","438.4","259.1","179.4","74.4","248.8","115.3",
"3103","의정부시","2010. 4/4","128.5","72.3","56.2","18.5","72.7","37.4",
"3103","의정부시","2011. 1/4","129.9","72.2","57.6","18.6","70.5","40.7",
"3103","의정부시","2011. 2/4","138","73.7","64.3","19.8","75.3","42.8",
"3103","의정부시","2011. 3/4","131.3","70.9","60.3","19.4","71.3","40.6",
"3103","의정부시","2011. 4/4","125.6","70.1","55.5","18.2","70.6","36.9",
"3103","의정부시","2012. 1/4","126.9","70.1","56.8","18.7","72.8","35.4",
"3103","의정부시","2012. 2/4","126","70.6","55.4","18.3","70.8","36.9",
"3103","의정부시","2012. 3/4","123.8","67.6","56.3","16.5","71.6","35.7",
"3103","의정부시","2012. 4/4","126.5","70","56.6","16.5","70.9","39.2",
"3104","안양시","2010. 4/4","218.1","130.9","87.2","36.7","125.9","55.5",
"3104","안양시","2011. 1/4","220.7","135.5","85.2","37.7","124.9","58.1",
"3104","안양시","2011. 2/4","221.9","131.5","90.4","37.7","126","58.1",
"3104","안양시","2011. 3/4","217","128.6","88.4","34.6","123.6","58.8",
"3104","안양시","2011. 4/4","214.9","124.3","90.7","32.7","122.8","59.3",
"3104","안양시","2012. 1/4","228.5","133.5","95","34.2","133.5","60.8",
"3104","안양시","2012. 2/4","231.5","138.7","92.8","34.4","131.6","65.5",
"3104","안양시","2012. 3/4","238.2","138","100.1","32.3","136.3","69.6",
"3104","안양시","2012. 4/4","239.2","140.5","98.8","31.9","135.6","71.8",
"3105","부천시","2010. 4/4","319.2","176.9","142.3","57.6","178.4","83.2",
"3105","부천시","2011. 1/4","314.8","173.6","141.2","53.9","176.1","84.7",
"3105","부천시","2011. 2/4","307.7","165.8","141.9","54.1","169.2","84.4",
"3105","부천시","2011. 3/4","305.2","167.8","137.4","55.3","167.7","82.2",
"3105","부천시","2011. 4/4","309.7","161.1","148.5","52.4","167.1","90.1",
"3105","부천시","2012. 1/4","326.3","181.4","145","50.1","178.9","97.3",
"3105","부천시","2012. 2/4","331.6","180.1","151.6","50.3","188.4","92.9",
"3105","부천시","2012. 3/4","329.4","176.9","152.4","47.5","178.5","103.4",
"3105","부천시","2012. 4/4","329.7","176.9","152.7","45.5","179.7","104.5",
"3106","광명시","2010. 4/4","93.6","54.2","39.4","10.5","53.3","29.8",
"3106","광명시","2011. 1/4","96.5","57","39.5","11.8","52.7","32.1",
"3106","광명시","2011. 2/4","97.6","56.8","40.8","12.3","50.4","34.9",
"3106","광명시","2011. 3/4","98.3","60.4","37.9","11.8","52.1","34.4",
"3106","광명시","2011. 4/4","97.9","58.8","39.1","11.8","51.7","34.4",
"3106","광명시","2012. 1/4","90.4","53.8","36.6","10.9","48.8","30.8",
"3106","광명시","2012. 2/4","90.9","55.4","35.5","10.4","49","31.4",
"3106","광명시","2012. 3/4","91","52.5","38.5","10.9","50.1","30.1",
"3106","광명시","2012. 4/4","91.4","51.6","39.8","11.1","50","30.3",
"3107","평택시","2010. 4/4","205.8","136.8","69","36.5","121.4","47.9",
