"[A]행정구역별(시군)","행정구역별(시군)","시점","취업자 (천명)","- 성별(남자)","- 성별(여자)","- 연령별(15~29세)","- 연령별(30~49세)","- 연령별(50세 이상)",
"1101","서울 종로구","2021. 1/2","279.2","162.6","116.5","43.6","154.5","81",
"1102","서울 중구","2021. 1/2","361.1","202.9","158.2","54","187.4","119.7",
"1103","서울 용산구","2021. 1/2","163.2","89.2","73.9","35","77.4","50.7",
"1104","서울 성동구","2021. 1/2","171.8","101.4","70.5","31.6","82.1","58.2",
"1105","서울 광진구","2021. 1/2","124.9","66","58.9","21.3","52.3","51.3",
"1106","서울 동대문구","2021. 1/2","194.1","107","87.2","29.6","86.4","78.2",
"1107","서울 중랑구","2021. 1/2","104.9","58.2","46.7","12.4","41.1","51.5",
"1108","서울 성북구","2021. 1/2","137.2","67.1","70.1","21.7","54","61.4",
"1109","서울 강북구","2021. 1/2","89.6","44.3","45.3","14.3","34.7","40.5",
"1110","서울 도봉구","2021. 1/2","82.1","43.5","38.7","10.7","32.1","39.4",
"1111","서울 노원구","2021. 1/2","141.7","63.9","77.8","23","53.7","65",
"1112","서울 은평구","2021. 1/2","113.9","56.3","57.6","12.3","48.6","53",
"1113","서울 서대문구","2021. 1/2","133.2","71.7","61.5","24.5","59.7","49",
"1114","서울 마포구","2021. 1/2","274.8","146.9","127.9","69","133.3","72.5",
"1115","서울 양천구","2021. 1/2","136.1","68.5","67.6","21.4","55.2","59.4",
"1116","서울 강서구","2021. 1/2","250.2","140.6","109.6","35.1","129.2","85.9",
"1117","서울 구로구","2021. 1/2","241","142.2","98.7","41","116.2","83.8",
"1118","서울 금천구","2021. 1/2","200.8","118.2","82.6","34.6","104.8","61.4",
"1119","서울 영등포구","2021. 1/2","369.7","217","152.7","61.7","188.9","119.1",
"1120","서울 동작구","2021. 1/2","113.7","59.1","54.5","20.2","50.5","43",
"1121","서울 관악구","2021. 1/2","129.4","66.6","62.8","21.3","55.4","52.8",
"1122","서울 서초구","2021. 1/2","349","203.6","145.4","59.2","181.7","108",
"1123","서울 강남구","2021. 1/2","801.6","436.5","365","173.8","433.8","194.1",
"1124","서울 송파구","2021. 1/2","322.2","186.7","135.6","48.4","161.6","112.3",
"1125","서울 강동구","2021. 1/2","163.3","86.8","76.6","19.2","75.7","68.4",
"2101","부산 중구","2021. 1/2","56.8","31.7","25.1","7.9","25.6","23.3",
"2102","부산 서구","2021. 1/2","51.6","25.2","26.4","7.5","21.1","23",
"2103","부산 동구","2021. 1/2","56.7","28.1","28.6","6.2","24.2","26.3",
