[A]행정구역별(시군구),행정구역별(시군구),[V]직업별,시점,취업인구-현거주지,취업인구-근무지
11,서울특별시,0,2015년,4704568,5423139
11,서울특별시,1,2015년,124924,132822
11,서울특별시,2,2015년,1288705,1503328
11,서울특별시,3,2015년,979576,1214648
11,서울특별시,4,2015년,503786,566650
11,서울특별시,5,2015년,661439,795204
11,서울특별시,6,2015년,6284,5285
11,서울특별시,7,2015년,394439,424314
11,서울특별시,8,2015년,283597,297074
11,서울특별시,9,2015년,452881,475208
11,서울특별시,10,2015년,8937,8606
11010,종로구,0,2015년,72265,295339
11010,종로구,1,2015년,1687,7115
11010,종로구,2,2015년,18433,81038
11010,종로구,3,2015년,14768,80929
11010,종로구,4,2015년,8377,27722
11010,종로구,5,2015년,11196,47879
11010,종로구,6,2015년,98,184
11010,종로구,7,2015년,7882,22277
11010,종로구,8,2015년,2536,9721
11010,종로구,9,2015년,6978,18103
11010,종로구,10,2015년,310,371
11020,중구,0,2015년,59861,367256
11020,중구,1,2015년,1163,9807
11020,중구,2,2015년,13541,77530
11020,중구,3,2015년,10866,112527
11020,중구,4,2015년,6639,28897
11020,중구,5,2015년,11824,75949
11020,중구,6,2015년,38,145
11020,중구,7,2015년,6206,20346
11020,중구,8,2015년,3424,20108
11020,중구,9,2015년,6114,21857
11020,중구,10,2015년,46,90
11030,용산구,0,2015년,106678,158693
11030,용산구,1,2015년,4409,4296
11030,용산구,2,2015년,30210,38131
11030,용산구,3,2015년,20575,38342
11030,용산구,4,2015년,13220,18584
11030,용산구,5,2015년,14619,24046
11030,용산구,6,2015년,71,114
11030,용산구,7,2015년,7811,12447
11030,용산구,8,2015년,4693,6144
11030,용산구,9,2015년,10382,13907
11030,용산구,10,2015년,688,2682
11040,성동구,0,2015년,144719,162332
11040,성동구,1,2015년,5663,3864
11040,성동구,2,2015년,38187,39376
11040,성동구,3,2015년,27762,31774
11040,성동구,4,2015년,15016,13976
11040,성동구,5,2015년,19473,21176
11040,성동구,6,2015년,118,208
11040,성동구,7,2015년,14451,22358
11040,성동구,8,2015년,9301,13689
11040,성동구,9,2015년,14714,15895
11040,성동구,10,2015년,34,16
