[A]행정구역(시군구)별,행정구역(시군구)별,시점,총인구수[명]
11,서울특별시,2010,10312545
11,서울특별시,2011,10249679
11,서울특별시,2012,10195318
11,서울특별시,2013,10143645
11,서울특별시,2014,10103233
11,서울특별시,2015,10022181
11,서울특별시,2016,9930616
11,서울특별시,2017,9857426
11,서울특별시,2018,9765623
11,서울특별시,2019,9729107
11,서울특별시,2020,9668465
11110,종로구,2010,170578
11110,종로구,2011,168382
11110,종로구,2012,165207
11110,종로구,2013,160070
11110,종로구,2014,156993
11110,종로구,2015,154986
11110,종로구,2016,152737
11110,종로구,2017,154770
11110,종로구,2018,153065
11110,종로구,2019,151290
11110,종로구,2020,149384
11140,중구,2010,132822
11140,중구,2011,133193
11140,중구,2012,133360
11140,중구,2013,130465
11140,중구,2014,128065
11140,중구,2015,125733
11140,중구,2016,125249
11140,중구,2017,125709
11140,중구,2018,125725
11140,중구,2019,126171
11140,중구,2020,125240
11170,용산구,2010,244853
11170,용산구,2011,246501
11170,용산구,2012,243232
11170,용산구,2013,239740
11170,용산구,2014,235951
11170,용산구,2015,233342
11170,용산구,2016,230241
11170,용산구,2017,229161
11170,용산구,2018,228999
11170,용산구,2019,228670
11170,용산구,2020,230040
11200,성동구,2010,309093
11200,성동구,2011,300711
11200,성동구,2012,299604
11200,성동구,2013,299337
11200,성동구,2014,296086
11200,성동구,2015,297003
11200,성동구,2016,299259
11200,성동구,2017,304808
11200,성동구,2018,308221
11200,성동구,2019,300889
11200,성동구,2020,293556
11215,광진구,2010,375463
11215,광진구,2011,371936
11215,광진구,2012,371313
11215,광진구,2013,368927
11215,광진구,2014,363354
11215,광진구,2015,360369
11215,광진구,2016,357215
11215,광진구,2017,357703
11215,광진구,2018,355559
11215,광진구,2019,351350
11215,광진구,2020,346682
11230,동대문구,2010,366786
11230,동대문구,2011,365486
11230,동대문구,2012,363258
11230,동대문구,2013,364273
11230,동대문구,2014,363687
11230,동대문구,2015,360153
11230,동대문구,2016,355069
11230,동대문구,2017,350647
11230,동대문구,2018,348052
11230,동대문구,2019,346194
11230,동대문구,2020,342837
11260,중랑구,2010,427455
11260,중랑구,2011,423706
11260,중랑구,2012,419295
11260,중랑구,2013,416798
11260,중랑구,2014,418836
11260,중랑구,2015,413909
11260,중랑구,2016,411005
11260,중랑구,2017,408226
11260,중랑구,2018,403209
11260,중랑구,2019,397015
11260,중랑구,2020,394702
11290,성북구,2010,488932
11290,성북구,2011,485171
11290,성북구,2012,481857
11290,성북구,2013,476589
11290,성북구,2014,466706
11290,성북구,2015,459275
11290,성북구,2016,450355
11290,성북구,2017,444055
11290,성북구,2018,435868
11290,성북구,2019,442650
11290,성북구,2020,437153
11305,강북구,2010,346520
11305,강북구,2011,345054
11305,강북구,2012,343157
11305,강북구,2013,338707
11305,강북구,2014,335025
11305,강북구,2015,330873
11305,강북구,2016,327195
11305,강북구,2017,324479
11305,강북구,2018,319164
11305,강북구,2019,313954
11305,강북구,2020,308055
11320,도봉구,2010,368298
11320,도봉구,2011,365573
11320,도봉구,2012,362270
11320,도봉구,2013,358582
11320,도봉구,2014,353709
11320,도봉구,2015,351242
11320,도봉구,2016,348220
11320,도봉구,2017,344166
11320,도봉구,2018,339413
11320,도봉구,2019,333362
11320,도봉구,2020,325257
11350,노원구,2010,611230
11350,노원구,2011,603930
11350,노원구,2012,597189
