SIG_CD,SIG_KOR_NM,area
42150,강릉시,1038297721.9967474
42170,동해시,180414780.271623
42820,고성군,585596122.4302135
42720,홍천군,1816157489.1790814
42110,춘천시,1114627794.590568
42780,철원군,830259218.2897769
42730,횡성군,996177961.1669967
42230,삼척시,1184218921.4406884
42190,태백시,303223080.22802687
42210,속초시,105495695.74237172
42130,원주시,866261487.6394911
42750,영월군,1126917596.7320528
42810,인제군,1615107023.870825
42760,평창군,1462767504.7303128
42830,양양군,628542005.3425393
42790,화천군,906844867.9220227
42800,양구군,647691763.2428023
42770,정선군,1218570965.23417
41115,수원시 팔달구,12854094.067221751
41117,수원시 영통구,27643802.857636087
41113,수원시 권선구,47106326.50666614
41430,의왕시,53827384.892374
41111,수원시 장안구,33324500.00843932
41173,안양시 동안구,21917596.72151781
41171,안양시 만안구,36857516.68722322
41670,여주시,606851837.178107
41197,부천시 소사구,12862511.35511236
41820,가평군,840070747.2194597
41250,동두천시,95844290.77510165
41650,포천시,825157607.1934867
41285,고양시 일산동구,59660141.59863271
41410,군포시,36423179.663757406
41210,광명시,38525183.67087761
41271,안산시 상록구,57906419.008687295
41550,안성시,552897196.7083678
41195,부천시 원미구,20610359.809194792
41199,부천시 오정구,20132205.08611017
41287,고양시 일산서구,41555004.39214788
41500,이천시,461499014.3481723
41133,성남시 중원구,26379263.700134333
41290,과천시,35822482.11253298
41370,오산시,42630400.009444855
41570,김포시,277582644.9491304
41281,고양시 덕양구,165156438.44684753
41135,성남시 분당구,69647792.28152083
41131,성남시 수정구,45379066.87020828
41450,하남시,92751878.95149106
41590,화성시,687920449.6818681
41480,파주시,682355990.2848042
41150,의정부시,81761760.25758578
41390,시흥시,134334388.68877003
41630,양주시,310258463.455698
41830,양평군,876089034.3564872
41220,평택시,452207912.6292807
41800,연천군,666427245.9683365
41610,광주시,429647832.9688507
41310,구리시,33194857.342501137
41461,용인시 처인구,467494470.6209116
41360,남양주시,459297558.17947817
41465,용인시 수지구,42084988.36109602
41273,안산시 단원구,91476368.860203
41463,용인시 기흥구,81762736.16627334
48720,의령군,481408133.1803277
48121,창원시 의창구,210688282.37332633
48129,창원시 진해구,122421962.43911026
48125,창원시 마산합포구,240082313.29459617
48730,함안군,415514267.8900275
48870,함양군,720434916.2959782
48250,김해시,461674310.5800236
48740,창녕군,530195966.1417009
48170,진주시,712401014.2581406
48860,산청군,791381760.2033654
48880,거창군,798894760.1027017
48820,고성군,515727773.8030258
48270,밀양시,801056285.1161956
48850,하동군,673070408.5513893
48310,거제시,400549738.72345304
48890,합천군,983099850.8446996
48840,남해군,356810011.0287477
48220,통영시,235283165.43827152
48240,사천시,398360657.2201146
48330,양산시,486448368.90073544
48123,창원시 성산구,81973661.87921473
48127,창원시 마산회원구,90842125.2952265
47920,봉화군,1200850679.4891517
47290,경산시,410792962.06637573
47820,청도군,692905501.3917061
47150,김천시,1004567523.8322854
47170,안동시,1526804862.6517534
47830,고령군,386399621.7428773
47250,상주시,1251381176.605667
47720,군위군,613071830.7057896
47850,칠곡군,450170810.0530934
47930,울진군,991355867.9053663
47210,영주시,672587821.1529456
47730,의성군,1169327050.1501749
47840,성주군,612521741.666127
47130,경주시,1318600934.6488068
47750,청송군,846689562.2187527
47900,예천군,664186143.48501
47190,구미시,613235208.246391
47760,영양군,819134674.5907668
47770,영덕군,742428700.1399499
47113,포항시 북구,733462818.221482
47111,포항시 남구,393216267.1372638
47230,영천시,915065245.0842792
47280,문경시,913947851.4832796
47940,울릉군,73663619.99486431
29110,동구,48736249.46157036
29170,북구,119324275.57780737
29200,광산구,221920638.9821211
29140,서구,47554208.43473123
29155,남구,60467767.232786074
27230,북구,94165794.97614948
27110,중구,7079507.565829906
27140,동구,181454592.94925928
27290,달서구,62826850.59164219
27260,수성구,76570254.62498951
27200,남구,17732005.567282196
27710,달성군,422759649.86626303
27170,서구,17314270.23223216
30200,유성구,175952944.62985083
30170,서구,95242926.35472004
30230,대덕구,69049553.6807038
30140,중구,62138876.72661632
30110,동구,137076193.17164493
26230,부산진구,29745247.71838227
26200,영도구,14174666.855829056
26170,동구,9470115.737374421
26380,사하구,41105902.65009842
26410,금정구,65638508.37868601
26110,중구,2842357.080112709
26290,남구,26163271.30148986
26320,북구,39780913.30604826
26470,연제구,12111386.329037067
26710,기장군,218446796.64193282
26350,해운대구,51848431.0669625
26140,서구,13743230.177160785
26500,수영구,10198838.40001249
26260,동래구,16659715.616031919
26530,사상구,36195646.18229146
26440,강서구,181553956.4611485
11200,성동구,16800779.553624496
11590,동작구,16377731.972603677
11170,용산구,21897558.89458513
11740,강동구,24538697.17339127
11320,도봉구,20672798.787539054
11545,금천구,13005544.581952002
11380,은평구,29772088.25961161
11260,중랑구,18536459.041919585
11680,강남구,39493404.27362735
11560,영등포구,24627747.7417466
11440,마포구,23663530.395498447
11215,광진구,17018733.122188576
11140,중구,9962768.31718454
11410,서대문구,17745467.66932924
11650,서초구,46855979.23263267
11230,동대문구,14235452.203042
11530,구로구,20075253.17045213
11110,종로구,23971611.814581115
11710,송파구,33827816.07794253
11470,양천구,17398830.387098353
11350,노원구,35580306.96415975
11290,성북구,24593233.74181457
11500,강서구,41422194.491594665
11620,관악구,29552564.956888463
11305,강북구,23617621.02730257
36110,세종특별자치시,464870277.5610301
31110,중구,36931436.19538339
31710,울주군,753216129.1462944
31170,동구,35818455.59426528
31140,남구,71397219.84244815
31200,북구,157416984.89963832
28720,옹진군,172401149.14118582
28200,남동구,56730830.01209147
28237,부평구,32058497.607368425
28110,중구,137580077.69423118
28140,동구,6956966.496288088
28245,계양구,45500783.007098
28710,강화군,410083540.0061502
28260,서구,110482990.10410723
28185,연수구,32004766.559698164
28170,남구,24848474.32360956
46890,완도군,392679507.59717613
46900,진도군,438016662.0547512
46910,신안군,650857972.9888622
46730,구례군,439263835.7475356
46230,광양시,457257752.1304255
46170,나주시,605386579.176888
46810,강진군,498201767.70451057
46720,곡성군,547895399.7504091
46770,고흥군,774557396.0085351
