FID,OBJECTID,shape_leng,statefp,state_abb,zone_id,zone_name,shape_area,CBSAFP2
0,1,3.818554876,48,TX,10180_TX,"Abilene, TX",0.684971193,10180
1,2,2.326638402,39,OH,10420_OH,"Akron, OH",0.256752413,10420
2,3,4.623962123,13,GA,10500_GA,"Albany, GA",0.481919624,10500
3,4,4.740245201,41,OR,10540_OR,"Albany, OR",0.675867652,10540
4,5,5.057233605,36,NY,10580_NY,"Albany-Schenectady-Troy, NY",0.820145963,10580
5,6,8.747041625,35,NM,10740_NM,"Albuquerque, NM",2.408972952,10740
6,7,4.727205493,22,LA,10780_LA,"Alexandria, LA",0.497321943,10780
7,8,1.723568387,34,NJ,10900_NJ,"Allentown-Bethlehem-Easton, PA-NJ",0.100199188,10900
8,9,3.328154273,42,PA,10900_PA,"Allentown-Bethlehem-Easton, PA-NJ",0.307434229,10900
9,10,2.036999705,42,PA,11020_PA,"Altoona, PA",0.144980386,11020
10,11,5.672331927,48,TX,11100_TX,"Amarillo, TX",1.329651132,11100
11,12,1.625053571,19,IA,11180_IA,"Ames, IA",0.161540469,11180
12,13,20.07928551,2,AK,11260_AK,"Anchorage, AK",11.95170004,11260
13,14,1.879697327,26,MI,11460_MI,"Ann Arbor, MI",0.204123137,11460
14,15,2.193322198,1,AL,11500_AL,"Anniston-Oxford-Jacksonville, AL",0.154324765,11500
15,16,2.789590752,55,WI,11540_WI,"Appleton, WI",0.304190297,11540
16,17,4.281906078,37,NC,11700_NC,"Asheville, NC",0.52574833,11700
17,18,2.967028897,13,GA,12020_GA,"Athens-Clarke County, GA",0.261427545,12020
18,19,8.85103208,13,GA,12060_GA,"Atlanta-Sandy Springs-Roswell, GA",2.225399565,12060
19,20,1.978472294,34,NJ,12100_NJ,"Atlantic City-Hammonton, NJ",0.16538525,12100
20,21,2.022082139,1,AL,12220_AL,"Auburn-Opelika, AL",0.153212356,12220
21,22,4.937122524,13,GA,12260_GA,"Augusta-Richmond County, GA-SC",0.500352945,12260
22,23,3.425706912,45,SC,12260_SC,"Augusta-Richmond County, GA-SC",0.399447898,12260
23,24,4.660400038,48,TX,12420_TX,"Austin-Round Rock, TX",1.03914766,12420
24,25,7.281057109,6,CA,12540_CA,"Bakersfield, CA",2.095963342,12540
25,26,9.756272401,24,MD,12580_MD,"Baltimore-Columbia-Towson, MD",0.814751959,12580
26,27,6.525684389,23,ME,12620_ME,"Bangor, ME",1.059035407,12620
27,28,3.54141376,25,MA,12700_MA,"Barnstable Town, MA",0.126101426,12700
28,29,4.690104791,22,LA,12940_LA,"Baton Rouge, LA",1.023673461,12940
29,30,1.86460268,26,MI,12980_MI,"Battle Creek, MI",0.202965353,12980
30,31,2.008137553,26,MI,13020_MI,"Bay City, MI",0.130669551,13020
31,32,7.122197062,48,TX,13140_TX,"Beaumont-Port Arthur, TX",0.777746757,13140
32,33,3.46254712,54,WV,13220_WV,"Beckley, WV",0.339015015,13220
33,34,6.071626358,53,WA,13380_WA,"Bellingham, WA",0.687671112,13380
34,35,6.025463668,41,OR,13460_OR,"Bend-Redmond, OR",0.886312665,13460
